species,CN,CL
Helicosphaera carteri,20,8.63
Helicosphaera carteri,17,8.98
Helicosphaera carteri,21,8.63
Helicosphaera carteri,21,9.09
Helicosphaera carteri,16,8.45
Helicosphaera carteri,21,8.39
Helicosphaera carteri,18,8.37
Helicosphaera carteri,18,8.43
Helicosphaera carteri,21,8.42
Helicosphaera carteri,16,9.74
Helicosphaera carteri,26,9.65
Helicosphaera carteri,15,10.12
Helicosphaera carteri,13,9.08
Helicosphaera carteri,12,8.76
Helicosphaera carteri,24,8.54
Helicosphaera carteri,19,8.12
Helicosphaera carteri,14,8.85
Helicosphaera carteri,17,8.82
Helicosphaera carteri,15,8.93
Helicosphaera carteri,11,8.90
Helicosphaera carteri,17,8.23
Helicosphaera carteri,18,7.64
Helicosphaera carteri,18,9.10
Helicosphaera carteri,19,8.68
Helicosphaera carteri,20,8.83
Helicosphaera carteri,18,9.15
Helicosphaera carteri,15,8.85
Helicosphaera carteri,18,9.55
Helicosphaera carteri,15,9.24
Helicosphaera carteri,22,8.90
Helicosphaera carteri,19,8.88
Helicosphaera carteri,19,9.05
Helicosphaera carteri,17,9.11
Helicosphaera carteri,14,7.05
Helicosphaera carteri,16,9.39
Helicosphaera carteri,20,8.97
Helicosphaera carteri,21,9.54
Helicosphaera carteri,18,9.28
Helicosphaera carteri,17,8.41
Helicosphaera carteri,15,8.65
Helicosphaera carteri,18,8.91
Helicosphaera carteri,17,8.52
Helicosphaera carteri,17,9.78
Helicosphaera carteri,12,8.37
Helicosphaera carteri,22,9.45
Helicosphaera carteri,19,7.91
Helicosphaera carteri,23,8.43
Helicosphaera carteri,16,8.10
Helicosphaera carteri,23,8.72
Helicosphaera carteri,18,8.47
Helicosphaera carteri,23,9.28
Helicosphaera carteri,24,8.51
Helicosphaera carteri,17,8.72
Helicosphaera carteri,20,9.13
Helicosphaera carteri,17,8.30
Helicosphaera carteri,19,10.50
Helicosphaera carteri,18,9.99
Helicosphaera carteri,13,8.54
Helicosphaera carteri,20,8.56
Helicosphaera carteri,18,9.09
Helicosphaera carteri,16,8.89
Helicosphaera carteri,14,10.18
Helicosphaera carteri,18,8.93
Helicosphaera carteri,12,9.10
Helicosphaera carteri,16,8.63
Helicosphaera carteri,16,9.75
Helicosphaera carteri,18,9.38
Helicosphaera carteri,18,11.22
Helicosphaera carteri,15,9.43
Helicosphaera carteri,15,8.94
Helicosphaera carteri,12,7.36
Helicosphaera carteri,19,9.63
Helicosphaera carteri,14,9.31
Helicosphaera carteri,13,10.01
Helicosphaera carteri,15,9.46
Helicosphaera carteri,11,9.18
Helicosphaera carteri,15,8.94
