species,volume,pg pic,phase
Emiliania huxleyi,54.76,2.35,HET
Emiliania huxleyi,263.68,14.81,HET
Emiliania huxleyi,183.0,4.32,HET
Emiliania huxleyi,96.03,2.61,HET
Emiliania huxleyi,242.29,4.71,HET
Emiliania huxleyi,210.31,7.12,HET
Emiliania huxleyi,148.62,3.38,HET
Emiliania huxleyi,64.47,2.06,HET
Emiliania huxleyi,100.04,5.92,HET
Emiliania huxleyi,114.35,4.0,HET
Emiliania huxleyi,173.61,4.88,HET
Emiliania huxleyi,162.87,7.57,HET
Emiliania huxleyi,101.42,5.32,HET
Florisphaera profunda,214.68,34.36,HET
Florisphaera profunda,287.96,40.56,HET
Gephyrocapsa ericsonii,80.67,6.87,HET
Gephyrocapsa ericsonii,17.78,0.87,HET
Gephyrocapsa ericsonii,20.56,0.68,HET
Gephyrocapsa ericsonii,11.28,1.04,HET
Gephyrocapsa ericsonii,27.84,2.87,HET
Gephyrocapsa ericsonii,16.52,1.45,HET
Gephyrocapsa ericsonii,16.29,1.04,HET
Gephyrocapsa ericsonii,24.85,3.33,HET
Gephyrocapsa ericsonii,13.45,2.1,HET
Gephyrocapsa ericsonii,17.37,0.6,HET
Gephyrocapsa ornata,34.3,3.59,HET
Gephyrocapsa ericsonii,14.83,0.49,HET
Gephyrocapsa ericsonii,14.93,0.7,HET
Gephyrocapsa ericsonii,17.42,2.89,HET
Gephyrocapsa ericsonii,39.97,3.31,HET
Gephyrocapsa ericsonii,23.2,1.23,HET
Gephyrocapsa ericsonii,35.38,3.72,HET
Gephyrocapsa ericsonii,25.19,3.11,HET
Gephyrocapsa ericsonii,31.12,1.3,HET
Gephyrocapsa ericsonii,34.16,2.64,HET
Gephyrocapsa ericsonii,26.23,2.19,HET
Gephyrocapsa ericsonii,10.98,0.59,HET
Gephyrocapsa parvula,40.41,2.11,HET
Gephyrocapsa ericsonii,23.83,1.47,HET
Gephyrocapsa ericsonii,16.29,1.84,HET
Gephyrocapsa ericsonii,23.84,0.81,HET
Gephyrocapsa ericsonii,19.79,1.33,HET
Gephyrocapsa ericsonii,27.3,0.81,HET
Gephyrocapsa ericsonii,12.71,1.04,HET
Gephyrocapsa ericsonii,18.65,1.66,HET
Gephyrocapsa ericsonii,19.44,1.25,HET
Gephyrocapsa ericsonii,27.36,2.5,HET
Gephyrocapsa ericsonii,18.71,1.28,HET
Gephyrocapsa ericsonii,16.6,1.04,HET
Gephyrocapsa ericsonii,33.55,1.12,HET
Gephyrocapsa ericsonii,11.91,0.77,HET
Gephyrocapsa ericsonii,10.48,1.07,HET
