species,diameter (um) [median],diameter (um) [95 CI lower],diameter (um) [95 CI upper],POC (pg poc) [median],POC (pg poc) [95 CI lower],POC (pg poc) [95 CI upper],PIC (pg pic) [median],PIC (pg pic) [95 CI lower],PIC (pg pic) [95 CI upper],PIC:POC (pg pic: pg poc) [median],PIC:POC (pg pic: pg poc) [95 CI lower],PIC:POC (pg pic: pg poc) [95 CI upper]
Syracosphaera pulchra HOL oblonga type,14.1,14.0,14.1,233.0,230.0,235.0,12.1,12.0,12.3,0.0522,0.0511,0.053
Syracosphaera pulchra HOL pirus type,10.9,10.8,11.0,107.0,104.0,109.0,27.6,27.2,28.1,0.26,0.253,0.265
Syracosphaera reniformis HET,3.92,3.89,3.94,6.69,6.57,6.81,0.998,0.98,1.02,0.149,0.146,0.153
Syracosphaera rotula HET,5.43,5.41,5.45,14.3,14.1,14.4,4.25,4.21,4.3,0.298,0.293,0.302
Syracosphaera squamosa HET,3.81,3.79,3.83,5.88,5.79,5.97,1.76,1.74,1.78,0.299,0.295,0.306
Syracosphaera strigilis HET,5.64,5.62,5.67,18.7,18.5,19.0,5.01,4.94,5.08,0.267,0.263,0.272
Syracosphaera strigilis HOL,4.69,4.66,4.72,9.75,9.57,9.94,2.12,2.09,2.16,0.217,0.213,0.224
Syracosphaera tumularis HET,15.9,15.8,15.9,396.0,392.0,399.0,104.0,103.0,105.0,0.263,0.259,0.266
Turrilithus latericioides HET,8.02,7.99,8.07,51.3,50.6,52.1,13.7,13.5,13.9,0.268,0.262,0.272
Umbellosphaera irregularis HET,6.24,6.21,6.27,23.2,22.9,23.5,11.9,11.6,12.2,0.513,0.494,0.527
Umbellosphaera tenuis HET,6.47,6.44,6.5,29.6,29.2,30.0,7.23,7.12,7.33,0.244,0.24,0.25
Umbilicosphaera anulus HET,16.4,16.3,16.5,338.0,334.0,343.0,107.0,105.0,108.0,0.316,0.311,0.322
Umbilicosphaera foliosa HET,8.16,8.13,8.19,51.0,50.4,51.6,14.7,14.6,14.9,0.289,0.285,0.293
Umbilicosphaera hulburtiana HET,7.2,7.17,7.23,30.3,29.9,30.6,37.8,37.4,38.2,1.25,1.23,1.27
Umbilicosphaera sibogae HET,20.0,19.9,20.0,790.0,781.0,801.0,172.0,169.0,175.0,0.217,0.213,0.222
Wigwamma antarctica HET,5.04,5.02,5.07,12.2,12.0,12.3,3.45,3.41,3.49,0.284,0.279,0.288
Zygosphaera amoena HOL,4.78,4.77,4.8,10.5,10.4,10.7,,,,,,
Zygosphaera marsilii HOL,7.06,7.02,7.08,37.2,36.8,37.7,6.19,6.07,6.31,0.166,0.162,0.17
